dist,value
A,119.60109437003968
Bl,21.92261021205357
Br,22.612794586666045
C,32.91521917676169
D,21.798580680726065
E,21.8715479484437
F,77.0719872562469
G,74.66007069905598
H,43.44523744371202
I,40.130945325578956
J,35.262027926974824
K,34.93235818529886
L,69.72987687368241
M,68.54532472156342
Nl,2.8103629944816464
Nr,3.3663122267950145
Ol,0.5647009713309151
Or,0.3866786266508556
Pl,18.413305402483257
Pu,21.441076417953248
Ql,17.479429282536582
Qu,12.232240058051215
R,89.13060079423208
S,90.3848874870179
T,92.9546033150809
U,93.0804972233848
Vl,32.008812684558684
Vr,28.012597605387366
W,55.38143781389508
X,13.025632237025668
Wl,79.77146543230329
Wr,72.59893852294437
N,3.0883376106383307
O,0.47568979899088537
