feature,value
f0,0.4629111587048085
f1,1.0251998150665782
f2,3.26457334394526
f3,1.0172812975491872
f4,0.0080795
f5,0.017895022
f6,0.05703929
f7,-1.8997275749252556
f8,1.0314827645036992
f9,1.0033473403056077
f10,1.0825869435978765
f11,6.492335167140101
f12,7.267955353061736
f13,5.961229744055732
f14,-2.908027782684897
f15,1.0323053077047437
f16,1.0534271517022409
f17,1.7528331945906188
f18,0.2676297642020319
f19,0.33248153405405806
f20,0.3871527584748572
f21,1.4404007656928113
f22,-4.367962724694465
f23,-3.6168984678284914
f24,1.009437374365831
f25,0.7782579056960675
f26,0.7557195689812978
f27,0.2752083444564786
f28,0.10890897199255575
