,0,1,2,3,4,5,6,7
0,0.024231806,0.024231806,0.02101533,0.02101533,0.0219126,0.020829517,0.024310913,0.024869367
1,0.014986537,0.014986537,0.023821196,0.023821196,0.019112341,0.019818721,0.019098995,0.019743219
2,0.02107732,0.02107732,0.024634259,0.024634259,0.021467067,0.022161465,0.0232098,0.022821745
3,0.018119203,0.018119203,0.025424737,0.021110168,0.017836759,0.018557625,0.020592397,0.01789375
4,0.021807468,0.021807468,0.024871295,0.024871295,0.02083458,0.020951161,0.02021108,0.020758467
5,0.01893861,0.01893861,0.0407441,0.0407441,0.019372372,0.019156061,0.03163,0.020864028
6,0.021474369,0.021474369,0.025713973,0.025713973,0.0204412,0.02169541,0.023486542,0.022211459
7,0.020419482,0.020419482,0.022636807,0.022636807,0.019672174,0.020556662,0.022356851,0.021184359
8,0.024099478,0.024099478,0.022984872,0.022084892,0.020919278,0.021054352,0.025274536,0.021442415
9,0.020779803,0.020779803,0.02170187,0.02170187,0.017403295,0.017778646,0.021264764,0.019100202
10,0.02267156,0.02267156,0.02478249,0.02478249,0.022392238,0.021394707,0.027530542,0.023256427
11,0.029690972,0.029690972,0.020462485,0.020462485,0.020535642,0.020989185,0.019359902,0.01994406
12,0.024010725,0.024010725,0.01796722,0.019143473,0.015903667,0.018613895,0.017900208,0.019862723
13,0.02361425,0.021388423,0.03916907,0.017865494,0.018090451,0.018607792,0.022877017,0.02036529
14,0.02008144,0.02008144,0.024057517,0.024057517,0.01914969,0.018235875,0.021805178,0.019747062
15,0.017548619,0.017548619,0.022224236,0.022224236,0.018129896,0.018582445,0.019737696,0.01915624
16,0.021047492,0.032334547,0.033215366,0.033215366,0.032094013,0.03238596,0.032428324,0.032015692
17,0.019235209,0.019235209,0.020293161,0.020293161,0.021014199,0.020643504,0.021503083,0.021535486
18,0.019613357,0.019613357,0.02193423,0.02193423,0.019015756,0.018175151,0.02049216,0.020293016
